rule	count
rust-to-vec	7699
rust-format-hot	4889
rust-prod-unwrap	4352
rust-map-full-scan	3312
rust-map-insert	3134
rust-ignore-test	2066
rust-relaxed-atomic	1548
rust-gap-language	1531
rust-let-underscore	873
rust-result-ok	643
rust-narrowing-cast	584
shell-error-suppression	408
rust-variable-capacity	366
rust-panic-macro	332
rust-unwrap-or-default	324
rust-detached-spawn	315
rust-full-sort	287
rust-blocking-fs	278
rust-json-materialize	265
rust-dangerous-tls	260
rust-if-let-ok	233
rust-unsafe-block	224
rust-file-write	204
rust-body-collect	181
rust-user-metric-label	156
rust-arc-swap-store	153
rust-unwrap-or-true	134
shell-unverified-download	124
rust-dynamic-path-join	123
rust-client-builder	71
rust-secret-equality	70
rust-todo-comment	64
rust-std-mutex	58
rust-read-to-string	45
rust-network-connect	41
rust-regex-compile	38
rust-serde-default-sensitive	37
rust-weak-hash	36
rust-string-lossy	31
rust-accept-loop	30
rust-spawn-blocking	26
rust-blocking-sleep	25
rust-read-to-end	24
yaml-missing-probe-marker	23
rust-unreachable-macro	22
rust-filter-map-ok	21
rust-log-secret	15
proto-unbounded-repeated	14
rust-blocking-command	12
proto-bytes-field	12
rust-unchecked-operation	10
rust-wildcard-cors	9
rust-shell-command	8
rust-jwt-decode	8
rust-unbounded-channel	5
yaml-continue-on-error	5
shell-eval	5
yaml-privileged	4
sql-select-star	1
